Supercharger	Street Address	City	State	Zip	Country	Stalls	kW	GPS	Elev(m)	Status	Open Date	Links
Chino Hills, CA	13920 City Center Dr	Chino Hills	CA	91709	USA	16	250	34.002163, -117.731326	217	CONSTRUCTION		gmap | forum | tesla
Houston - Westheimer Rd (SC), TX	9633 Westheimer Rd	Houston	TX	77063	USA	16	250	29.736293, -95.537604	21	CONSTRUCTION		gmap | forum
Soledad, CA	3070 H Dela Rosa Sr St	Soledad	CA	93960	USA	12	250	36.4162019, -121.320846	61	PERMIT		gmap | forum | tesla
Shirley, NY	999 Montauk Hwy	Shirley	NY	11967	USA	8	250	40.804373, -72.860362	16	PERMIT		gmap | forum | tesla
King of Prussia, PA	310 S Henderson Rd	King of Prussia	PA	19406	USA	16	250	40.092333, -75.359222	48	CONSTRUCTION		gmap | forum | tesla
Hannibal, MO	4215 McMasters Ave	Hannibal	MO	63401	USA	10		39.718683, -91.392383	180	CONSTRUCTION		gmap | forum | tesla
Portland, OR	805 SW Broadway	Portland	OR	97205	USA	8		45.5184518, -122.6806779	22	PERMIT		gmap | forum | tesla
Waterloo, IA	1422 Flammang Dr	Waterloo	IA	50702	USA	8	250	42.459333, -92.328806	265	CONSTRUCTION		gmap | forum | tesla
Knoxville - Neyland Drive, TN	400 Neyland Dr	Knoxville	TN	37902	USA	4	72	35.959109, -83.916658	251	CLOSED_PERM		gmap | forum
Bay Shore, NY	838 Sunrise Hwy	Bay Shore	NY	11706	USA	8	250	40.727358, -73.276843	11	PERMIT		gmap | forum | tesla
Santa Maria, CA	371 Town Center E	Santa Maria	CA	93454	USA	20	250	34.950762, -120.432835	68	PERMIT		gmap | forum | tesla
Chandler, AZ	3111 W Chandler Blvd	Chandler	AZ	85226	USA	42	250	36.104924, -112.143356	745	CLOSED_PERM		gmap | forum
Harris Ranch (Expansion), CA	24553 W Dorris Ave	Coalinga	CA	93210	USA	80	250	36.253519, -120.240461	141	PERMIT		gmap | forum | tesla
Buttonwillow Raceway, CA	24551 W Lerdo Hwy	Buttonwillow	CA	93206	USA	16	250	35.497199, -119.554591	77	PERMIT		gmap | forum
Sherman Oaks, CA	15301 Ventura Blvd	Sherman Oaks	CA	91403	USA	40	250	34.156902, -118.467539	212	PERMIT		gmap | forum | tesla
Arroyo Grande, CA	1160 W Branch St	Arroyo Grande	CA	93420	USA	8	250	35.126833, -120.595972	56	CONSTRUCTION		gmap | forum | tesla
West Hollywood, CA	8775 Sunset Blvd	West Hollywood	CA	90069	USA	8	250	34.091635, -118.382241	109	CONSTRUCTION		gmap | forum | tesla
College Station, TX	311 Polo Rd	College Station	TX	77840	USA	8	250	30.622583, -96.337042	99	PERMIT		gmap | forum | tesla
Speedway, IN	6311 Crawfordsville Rd	Indianapolis	IN	46224	USA	8	250	39.80066, -86.270482	226	PERMIT		gmap | forum | tesla
Lodi, NJ	150 Essex St	Lodi	NJ	07644	USA	8	250	40.89146, -74.07267	13	CONSTRUCTION		gmap | forum | tesla
Westminster, CO	7450 Federal Blvd	Westminster	CO	80030	USA	8	250	39.832103, -105.023901	1629	PERMIT		gmap | forum | tesla
Honolulu, HI	98-1005 Moanalua Rd	Aiea	HI	96701	USA	12		21.385583, -157.941632	19	PERMIT		gmap | forum | tesla
Red Hook, NY	35 Hannaford Dr	Red Hook	NY	12571	USA	8	250	41.979196, -73.881762	72	PERMIT		gmap | forum
Austin - Travis Heights, TX	1603 S Congress Ave	Austin	TX	78704	USA	8		30.247661, -97.750105	167	PERMIT		gmap | forum
Woodbridge PTC, VA	15201 Potomac Town Pl	Woodbridge	VA	22191	USA	8	250	38.629917, -77.289806	55	PERMIT		gmap | forum | tesla
Dwight, IL	100 Watters Dr	Dwight	IL	60420	USA	8	250	41.093315, -88.442607	193	PERMIT		gmap | forum | tesla
Mandeville, LA	69320 LA-21	Covington	LA	70433	USA	8	250	30.443274, -90.141697	6	PERMIT		gmap | forum
Dallas - Park Ln, TX	8080 Park Ln	Dallas	TX	75231	USA	12	250	32.868509, -96.76861	179	PERMIT		gmap | forum
San Marcos, CA	573 Grand Ave	San Marcos	CA	92078	USA	12	250	33.13658, -117.176119	170	CONSTRUCTION		gmap | forum | tesla
Pacific Palisades, CA	1038 N Swarthmore Ave	Pacific Palisades	CA	90272	USA	8	250	34.047878, -118.524987	100	PERMIT		gmap | forum | tesla
San Gabriel, CA	140 W Valley Blvd	San Gabriel	CA	91776	USA	16	250	34.077694, -118.100109	102	CONSTRUCTION		gmap | forum | tesla
Auburn, CA	13431 Bowman Rd	Auburn	CA	95603	USA	12	250	38.926253, -121.058008	482	PERMIT		gmap | forum | tesla
Charlton - Eastbound, MA	6 Massachusetts Turnpike	Charlton	MA	01507	USA	8	250	42.139201, -72.025772	234	CONSTRUCTION		gmap | forum | tesla
Diamond Bar, CA	2785 S Diamond Bar Blvd	Diamond Bar	CA	91765	USA	24		33.976082, -117.837199	220	PERMIT		gmap | forum
Cranford, NJ	370 N Ave E	Cranford	NJ	07016	USA	12	250	40.658207, -74.287872	24	PERMIT		gmap | forum | tesla
Sonoma, CA	276 E Napa St	Sonoma	CA	95476	USA	8	250	38.291953, -122.452602	28	PERMIT		gmap | forum | tesla
Alturas, CA	1200 W 12th St	Alturas	CA	96101	USA	8	250	41.495424, -120.55978	1335	CONSTRUCTION		gmap | forum | tesla
Rolling Prairie East, IN	3 S Knute Rockne Plaza	Rolling Prairie	IN	46371	USA	8	250	41.705116, -86.621519	256	CONSTRUCTION		gmap | forum | tesla
Plainview - 1667 Old Country, NY	1667 Old Country Rd	Plainview	NY	11803	USA	8	250	40.780501, -73.448435	52	PERMIT		gmap | forum
San Bruno - Shops at Tanforan, CA	1150 El Camino Real	San Bruno	CA	94066	USA	28	250	37.636403, -122.417884	17	PERMIT		gmap | forum
Malta, NY	2951 State Hwy 9	Ballston Spa	NY	12020	USA	8	250	43.0262, -73.792	79	PERMIT		gmap | forum | tesla
Columbia - W Broadway, MO	3100 W Broadway	Columbia	MO	65203	USA	12	250	38.954047, -92.383588	222	PERMIT		gmap | forum
West Palm Beach Outlets, FL	1801 Palm Beach Lakes Blvd	West Palm Beach	FL	33401	USA	8	250	26.722886, -80.088161	5	PERMIT		gmap | forum
Liberty, MO	109 Blue Jay Dr	Liberty	MO	64068	USA	8	250	39.245809, -94.448108	263	PERMIT		gmap | forum | tesla
Sun Valley, CA	8501 Laurel Canyon Blvd	Sun Valley	CA	91352	USA	24	250	34.225463, -118.397666	256	PERMIT		gmap | forum | tesla
New Paltz, NY	271 Main St	New Paltz	NY	12561	USA	8	250	41.743731, -74.070122	113	PERMIT		gmap | forum | tesla
Tampa - N Dale Mabry Hwy, FL	401 N Dale Mabry Hwy	Tampa	FL	33609	USA	8	250	27.949242, -82.504944	7	PERMIT		gmap | forum
Bealeton, VA	10101 James Madison Hwy	Bealeton	VA	22712	USA	8	250	38.619784, -77.799832	136	PERMIT		gmap | forum | tesla


