Supercharger	Street Address	City	State	Zip	Country	Stalls	kW	GPS	Elev(m)	Status	Open Date	Links
Woodbridge, VA	2700 Potomac Mills Circle	Woodbridge	VA	22192	USA	10		38.64082, -77.29633	63	OPEN	2014-05-02	gmap | forum | tesla
Albany, NY	131 Colonie Center	Albany	NY	12205	USA	6		42.710356, -73.819109	88	OPEN	2014-04-30	gmap | forum | tesla
Roseville, CA	1151 Galleria Blvd	Roseville	CA	95678	USA	7	150	38.771208, -121.266149	66	OPEN	2014-04-29	gmap | forum | tesla
Hamilton Township, NJ	425 Marketplace Blvd	Hamilton	NJ	08691	USA	6	150	40.195539, -74.641375	21	OPEN	2014-04-22	gmap | forum | tesla
Beaver, UT	Littlefield Interchange	Beaver	UT	84713	USA	32	250	38.249149, -112.652524	1790	OPEN	2014-04-14	gmap | forum | tesla
Cranberry, PA	1308 Freedom Rd	Cranberry Township	PA	16066	USA	6	150	40.683982, -80.10839	312	OPEN	2014-04-04	gmap | forum | tesla
Richfield, UT	20 W 1400 N	Richfield	UT	84701	USA	4	150	38.787942, -112.085316	1660	OPEN	2014-04-04	gmap | forum | tesla
Buckeye, AZ	416 S Watson Rd	Buckeye	AZ	85326	USA	8		33.443011, -112.556876	338	OPEN	2014-03-20	gmap | forum | tesla
Green River, UT	1765 East Main St	Green River	UT	84525	USA	8	150	38.993577, -110.140513	1240	OPEN	2014-03-17	gmap | forum | tesla
Plymouth, NC	840 U.S. 64	Plymouth	NC	27962	USA	8	150	35.850587, -76.756116	5	OPEN	2014-03-12	gmap | forum | tesla
Las Vegas, NV	701 Bridger Ave	Las Vegas	NV	89101	USA	6		36.165906, -115.138655	609	OPEN	2014-02-19	gmap | forum | tesla
Pleasant Prairie, WI	11211 120th Ave	Pleasant Prairie	WI	53158	USA	8	120	42.518715, -87.950428	216	OPEN	2014-02-13	gmap | forum | tesla
Greenwich, CT (north)	3000 Merritt Pkwy	Greenwich	CT	06830	USA	4		41.041538, -73.671661	82	OPEN	2014-02-12	gmap | forum | tesla
Greenwich, CT (south)	2000 Merritt Pkwy	Greenwich	CT	06830	USA	4		41.040555, -73.673445	81	OPEN	2014-02-12	gmap | forum | tesla
Yuma, AZ	310 N Madison Ave	Yuma	AZ	85364	USA	8	150	32.726686, -114.619093	43	OPEN	2014-02-04	gmap | forum | tesla
Eau Claire, WI	4601 Keystone Crossing	Eau Claire	WI	54701	USA	6	120	44.77083, -91.43711	293	OPEN	2014-01-30	gmap | forum | tesla
Hagerstown, MD	495 Premium Outlets Blvd	Hagerstown	MD	21740	USA	6		39.605859, -77.733324	164	OPEN	2014-01-23	gmap | forum | tesla
Moab, UT	16 South Main St	Moab	UT	84511	USA	4		38.573122, -109.552368	1224	OPEN	2014-01-22	gmap | forum | tesla
Kingman, AZ	789 W Beale St	Kingman	AZ	86401	USA	10	120	35.191331, -114.065592	1025	OPEN	2014-01-22	gmap | forum | tesla
Cheyenne, WY	1400 Dell Range Blvd	Cheyenne	WY	82009	USA	4		41.161085, -104.804955	1859	OPEN	2014-01-20	gmap | forum | tesla
Lumberton, NC	5093 Fayetteville Rd	Lumberton	NC	28358	USA	8	150	34.667629, -79.002343	40	OPEN	2014-01-17	gmap | forum | tesla
Holbrook, AZ	2096 Navajo Blvd	Holbrook	AZ	86025	USA	4	120	34.922962, -110.145558	1596	OPEN	2014-01-15	gmap | forum | tesla
Savannah, GA	400 Airways Ave	Savannah	GA	31408	USA	8	125	32.135507, -81.212767	6	OPEN	2014-01-15	gmap | forum | tesla
Macedonia, OH	8210 Macedonia Commons Blvd	Macedonia	OH	44056	USA	6	150	41.313663, -81.517018	296	OPEN	2014-01-15	gmap | forum | tesla
Maumee, OH	1391 Conant St	Maumee	OH	43537	USA	8	150	41.57835, -83.66465	192	OPEN	2014-01-13	gmap | forum | tesla
